Sample,ExposureGroup,ExposureCVvsNOCV,ExposureCVGENvsNOCV,ExposureCVCCvsNOCV,NormAvgScale,DescriptiveNorms,PrescriptiveNorms,NormAwareness,PsyDAvgScale,ECASAvgScale,PolSuppAvgScale,NegEmoAvgScale,PosEmoAvgScale,poliscale,gender,genslidecheck,CAslidecheck,Norms_2,Norms_3,Norms_4,Norms_5,Norms_6,Norms_7,PsycDist_1,PsycDist_2,PsycDist_3,PsycDist_4,ECAS_1,ECAS_2,ECAS_3,ECAS_4,CCemotions_1,CCemotions_2,CCemotions_3,CCemotions_7,CCemotions_8,CCemotions_4,CCemotions_5,CCemotions_6,CCemotions_9,HumanMitEff,HumanAdaptEff,attcheck2,PolicySupport_1,PolicySupport_2,PolicySupport_3,PolicySupport_4,regionidentity,A6americas,Norms_6_Rec,Norms_7_rec,PsycDist_2_Rec,PsycDist_4_Rec,attcheckPassNoPass
1,0,0,0,0,2.85714285714286,2.25,4,3,1.75,2.5,3.5,1.75,2.6,3,6, , ,2,2,4,4,3,4,1,4,2,4,2,2,3,3,2,3,3,2,3,2,1,2,2,2,3,1,4,3,3,4,2,3,3,2,2,2,1
1,0,0,0,0,2.85714285714286,3,2.5,3,3,1.5,2,3.25,1,4,5, , ,3,3,2,3,3,3,3,3,3,3,1,3,1,1,1,1,1,1,1,3,2,4,4,1,4,1,1,1,3,3,3,5,3,3,3,3,1
1,0,0,0,0,2.85714285714286,2.5,4,2,2,2,3.5,1.75,1.2,6,6, , ,2,2,4,4,3,3,2,4,2,4,2,4,1,1,1,1,2,1,1,3,1,1,2,3,3,1,4,3,3,4,3,3,3,3,2,2,1
1,0,0,0,0,2.85714285714286,3.25,3,1,2,2.25,2.5,2,1.8,4,5, , ,3,3,2,4,3,2,2,3,1,4,3,2,3,1,1,1,2,2,3,1,2,3,2,2,4,1,3,1,3,3,2,5,3,4,3,2,1
1,0,0,0,0,3,2,5,3,2.5,4,3.75,1.25,2.2,4,6, , ,3,2,5,5,5,4,3,3,2,4,5,5,4,2,1,2,3,3,2,2,1,1,1,2,3,1,4,4,2,5,2,3,1,2,3,2,1
1,0,0,0,0,3,3.25,2.5,3,3.75,2.5,2.25,1.25,1,5,6, , ,3,2,2,3,1,3,3,2,4,2,3,2,2,3,1,1,1,1,1,1,1,2,1,3,3,1,3,2,2,2,2,4,5,3,4,4,1
1,0,0,0,0,3,2.75,3,4,3.25,3.5,3.5,3,1.4,7,5, , ,2,4,2,4,3,4,4,2,3,4,4,3,4,3,1,1,1,3,1,3,4,2,3,4,3,1,4,3,4,3,2,2,3,2,4,2,1
1,0,0,0,0,3,2.5,3.5,4,3.75,2.25,1.5,3.5,1.2,6,6, , ,2,3,3,4,3,4,4,2,3,2,1,4,2,2,1,1,1,2,1,4,3,4,3,3,4,1,1,1,3,1,3,4,3,2,4,4,1
1,0,0,0,0,3,2.75,3.5,3,3,3,3,2.5,1,4,5, , ,3,2,4,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3,1,3,2,2,1,3,3,3,3,1,3,3,3,3,3,1
1,0,0,0,0,3,2.5,3.5,4,3.5,2,2.5,1,1,4,5, , ,3,2,3,4,4,3,3,3,4,2,1,3,2,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,4,4,2,4,2,3,3,4,1
1,0,0,0,0,3,2.5,3.5,4,3.25,4.5,3.75,3.5,3,1,5, , ,3,4,4,3,4,5,4,4,5,4,5,4,4,5,3,1,4,3,4,4,3,3,4,2,3,1,4,3,4,4,2,2,2,1,2,2,1
1,0,0,0,0,3,3.5,1.5,4,4.75,2,1.5,1.75,1.2,7,5, , ,3,3,1,2,1,3,4,1,5,1,2,2,2,2,1,1,2,1,1,3,1,1,2,1,3,1,1,1,2,2,3,6,5,3,5,5,1
1,0,0,0,0,3,3,3,3,3.5,3.75,3,1,1.2,6,5, , ,3,3,3,3,3,3,4,2,3,3,4,3,4,4,1,1,1,1,2,1,1,1,1,1,2,1,3,3,3,3,1,5,3,3,4,3,1
1,0,0,0,0,3,3.75,1,4,4,1,1,1,1,6,5, , ,3,4,1,1,1,3,3,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,5,3,3,5,1
1,0,0,0,0,3.14285714285714,3.25,3,3,3.25,3,2,1,1,4,6, , ,4,3,3,3,3,3,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,2,3,3,3,3,3,3,1
1,0,0,0,0,3.14285714285714,2,5,4,1.5,2.5,3.75,1.5,2.4,3,6, , ,3,2,5,5,5,4,2,4,1,5,2,2,3,3,2,1,4,3,2,2,1,2,1,2,3,1,3,3,5,4,3,1,1,2,2,1,1
1,0,0,0,0,3.14285714285714,3.25,2.5,4,3.75,2,1.75,2.75,1,5,5, , ,3,3,2,3,2,3,3,2,4,2,2,2,2,2,1,1,1,1,1,3,2,3,3,3,3,1,1,1,2,3,2,4,4,3,4,4,1
1,0,0,0,0,3.14285714285714,3,3,4,3.75,2.5,1,2.5,2.2,6,6, , ,3,2,2,4,1,4,3,2,4,2,1,3,3,3,1,3,3,2,2,3,2,3,2,2,2,1,1,1,1,1,3,5,5,2,4,4,1
1,0,0,0,0,3.14285714285714,2.25,5,3,1.25,3.5,4.25,2.25,1.4,4,6, , ,2,2,5,5,4,3,1,5,2,5,4,4,4,2,1,1,1,3,1,1,4,3,1,4,4,1,4,4,4,5,2,2,2,3,1,1,1
1,0,0,0,0,3.14285714285714,2.25,4.5,4,3.75,2.25,4.5,2.75,3.4,6,6, , ,2,1,4,5,3,3,4,2,3,2,2,5,1,1,3,2,4,4,4,3,3,2,3,2,3,1,5,4,4,5,1,2,3,3,4,4,1
1,0,0,0,0,3.14285714285714,3.25,2,5,4,2.25,1.25,1,2.2,7,6, , ,3,4,1,3,2,4,1,1,5,1,1,2,2,4,1,4,4,1,1,1,1,1,1,1,3,1,1,1,2,1,2,5,4,2,5,5,1
1,0,0,0,0,3.14285714285714,2.75,4.5,2,2.25,3.75,4.5,2.5,1.6,2,6, , ,3,2,5,4,3,3,2,4,2,3,4,4,3,4,1,2,1,2,2,3,2,2,3,3,4,1,4,4,5,5,2,1,3,3,2,3,1
1,0,0,0,0,3.14285714285714,2.5,4,4,2,2,4.25,1,2,3,5, , ,3,2,4,4,4,3,2,4,2,4,2,2,2,2,2,2,1,3,2,1,1,1,1,3,3,1,4,5,3,5,2,3,2,3,2,2,1
1,0,0,0,0,3.28571428571429,3.25,3.5,3,3.5,3,3.25,2,1,3,6, , ,4,3,3,4,3,3,4,3,4,3,2,3,4,3,1,1,1,1,1,2,2,2,2,3,3,1,3,3,4,3,3,3,3,3,3,3,1
1,0,0,0,0,3.28571428571429,3,4,3,2.5,3.5,3.5,3.25,1.6,5,5, , ,5,4,3,5,4,5,1,3,3,3,4,4,3,3,1,1,2,2,2,3,3,3,4,2,3,1,2,4,4,4,3,3,2,1,3,3,1
1,0,0,0,0,3.28571428571429,3,3.5,4,2.25,2.75,4.25,2.25,1.2,5,5, , ,5,2,4,3,5,2,2,3,2,4,2,3,3,3,2,1,1,1,1,2,2,3,2,2,3,1,4,4,4,5,1,3,1,4,3,2,1
1,0,0,0,0,3.28571428571429,3,5,1,2,3.5,4,1.25,1.6,4,6, , ,3,3,5,5,3,3,1,5,3,3,1,5,5,3,1,1,1,2,3,2,1,1,1,4,4,1,4,4,4,4,1,2,3,3,1,3,1
1,0,0,0,0,3.28571428571429,3.5,3.5,2,3.25,2.75,3,3,1.4,2,6, , ,3,4,4,3,2,3,3,3,4,3,3,2,3,3,1,1,1,2,2,4,3,2,3,3,3,1,3,3,3,3,3,3,4,3,3,3,1
1,0,0,0,0,3.28571428571429,3,5,1,1,4.25,4,3,2,6,5, , ,3,3,5,5,3,3,1,5,1,5,5,5,4,3,2,2,2,2,2,3,3,3,3,2,2,1,4,4,4,4,2,2,3,3,1,1,1
1,0,0,0,0,3.28571428571429,3,4,3,3,3,3,1.5,1.2,4,6, , ,3,3,4,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,2,3,4,1,3,3,3,3,2,3,3,3,3,3,1
1,0,0,0,0,3.28571428571429,2.25,5,4,1.5,3.25,4.25,1.5,3.4,2,6, , ,2,3,5,5,4,4,1,4,1,4,2,3,4,4,2,4,4,4,3,1,1,2,2,3,2,1,4,3,5,5,2,2,2,2,2,2,1
1,0,0,0,0,3.28571428571429,3,3.5,4,3.25,2,1,1,1,7,5, , ,3,3,3,4,3,3,3,3,3,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,5,3,3,3,4,1
1,0,0,0,0,3.28571428571429,2.5,5,3,2,4,4,2.25,3.2,4,6, , ,3,2,5,5,3,4,2,4,2,4,3,5,4,4,3,4,3,3,3,2,2,3,2,3,2,1,4,4,4,4,2,2,3,2,2,2,1
1,0,0,0,0,3.28571428571429,2.5,4.5,4,3,2.25,3.5,1.25,2,4,5, , ,3,3,4,5,4,4,4,3,4,5,4,1,2,2,1,2,2,3,2,1,1,2,1,2,3,1,4,2,4,4,2,2,2,2,3,1,1
1,0,0,0,0,3.28571428571429,2.25,5,4,3.25,4.25,5,3.25,2.8,1,5, , ,2,2,5,5,2,5,5,2,2,4,5,4,4,4,2,3,3,3,3,3,4,3,3,2,3,1,5,5,5,5,3,2,4,1,4,2,1
1,0,0,0,0,3.28571428571429,3,3,5,3.75,1,1,1,2.2,6,5, , ,3,2,2,4,1,4,4,3,4,2,1,1,1,1,1,3,4,2,1,1,1,1,1,1,2,1,1,1,1,1,1,6,5,2,3,4,1
1,0,0,0,0,3.28571428571429,3.25,2.5,5,3,1,1,1.5,1.2,3,5, , ,4,3,3,2,2,4,2,2,3,3,1,1,1,1,1,1,1,2,1,1,1,3,1,1,4,1,1,1,1,1,2,4,4,2,4,3,1
1,0,0,0,0,3.28571428571429,3,3.5,4,3,4.25,2.25,2,1,7,5, , ,3,3,3,4,3,3,3,3,3,3,4,4,4,5,1,1,1,1,1,2,2,2,2,3,3,1,2,2,2,3,2,4,3,3,3,3,1
1,0,0,0,0,3.28571428571429,3.5,2,5,4,2,1,1,1,5,5, , ,3,3,1,3,1,3,3,3,5,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,6,5,3,3,5,1
1,0,0,0,0,3.28571428571429,3.25,3,4,2.75,4,4,2.25,1,7,5, , ,3,4,3,3,3,3,2,3,3,3,4,4,4,4,1,1,1,1,1,3,1,2,3,3,2,1,4,4,4,4,1,3,3,3,3,3,1
1,0,0,0,0,3.42857142857143,2.75,5,3,1.75,3.5,4,1.5,2,3,6, , ,3,2,5,5,3,3,2,4,1,4,5,1,4,4,1,1,2,3,3,1,1,2,2,3,4,1,4,2,5,5,3,2,3,3,2,2,1
1,0,0,0,0,3.42857142857143,3,4,4,2,3.25,3.25,1.5,1.4,4,6, , ,3,3,4,4,3,3,2,4,2,4,3,3,4,3,2,1,1,1,2,2,1,2,1,3,3,1,3,3,4,3,2,3,3,3,2,2,1
1,0,0,0,0,3.42857142857143,3,4.5,3,2.75,3.5,3,2.75,2.8,1,5, , ,2,4,5,4,4,2,4,4,3,4,4,4,3,3,2,3,2,3,4,3,2,3,3,3,3,1,3,3,3,3,1,2,2,4,2,2,1
1,0,0,0,0,3.42857142857143,2.25,5,5,1,3,4,2.75,2.6,1,6, , ,5,2,5,5,5,5,1,5,1,5,4,2,3,3,1,2,3,4,3,3,3,3,2,3,3,1,4,4,4,4,2,1,1,1,1,1,1
1,0,0,0,0,3.42857142857143,2.5,5,4,2.25,1,5,1,3.8,4,5, , ,4,2,5,5,5,3,5,4,1,5,1,1,1,1,4,4,3,4,4,1,1,1,1,2,2,1,5,5,5,5,1,1,1,3,2,1,1
1,0,0,0,0,3.42857142857143,2.25,5,5,1.75,3.5,4,3.25,1,4,6, , ,2,2,5,5,5,2,2,4,1,4,2,4,4,4,1,1,1,1,1,3,3,3,4,4,4,1,4,4,4,4,2,2,1,4,2,2,1
1,0,0,0,0,3.42857142857143,2.25,5,5,3,3.5,5,1.75,1.8,1,5, , ,3,2,5,5,4,4,4,2,2,4,4,3,4,3,2,2,1,3,1,2,1,2,2,2,3,1,5,5,5,5,2,1,2,2,4,2,1
1,0,0,0,0,3.42857142857143,2.75,4.5,4,2.75,3.25,4,2.75,1.6,6,6, , ,4,3,4,5,4,4,4,3,2,4,4,2,4,3,1,2,1,2,2,3,2,3,3,3,3,1,4,5,4,3,3,3,2,2,3,2,1
1,0,0,0,0,3.42857142857143,2.75,4.5,4,2.5,3.5,4,2,1.6,3,6, , ,3,3,5,4,4,3,3,3,2,4,4,4,3,3,1,2,1,2,2,3,1,2,2,3,3,1,4,4,4,4,3,2,2,3,3,2,1
1,0,0,0,0,3.42857142857143,2.25,5,5,1,3.5,5,1,4,2,6, , ,3,3,5,5,5,4,1,5,1,5,5,2,5,2,4,4,4,4,4,1,1,1,1,3,2,1,5,5,5,5,1,1,1,2,1,1,1
1,0,0,0,0,3.42857142857143,2.5,5,4,1.5,3.25,4.25,2.75,2.6,1,6, , ,4,2,5,5,4,4,1,5,2,4,2,4,5,2,2,3,2,3,3,3,3,2,3,3,3,1,4,4,4,5,3,2,2,2,1,2,1
1,0,0,0,0,3.42857142857143,3.25,4,3,2,2.25,3,2,1,6,5, , ,3,3,4,4,3,2,2,4,2,4,2,3,2,2,1,1,1,1,1,3,2,1,2,2,2,1,3,3,3,3,2,3,3,4,2,2,1
1,0,0,0,0,3.42857142857143,2.75,4,5,2,3.5,2,3.5,1.2,5,5, , ,3,3,4,4,3,4,2,4,2,4,2,4,4,4,1,2,1,1,1,3,4,4,3,3,3,1,1,1,5,1,2,3,3,2,2,2,1
1,0,0,0,0,3.42857142857143,3,5,2,1.25,3,5,1.75,3.2,3,5, , ,2,2,5,5,2,2,1,5,2,5,2,2,4,4,3,3,4,4,2,1,2,3,1,3,3,1,5,5,5,5,2,1,4,4,1,1,1
1,0,0,0,0,3.42857142857143,2.5,4.5,5,2.25,4.5,4.5,3,1,7,6, , ,2,3,4,5,4,3,4,5,2,4,5,4,5,4,1,1,1,1,1,3,4,1,4,4,4,1,4,5,4,5,1,1,2,3,1,2,1
1,0,0,0,0,3.57142857142857,3.25,3.5,5,4.5,2.5,3.25,1.75,1,1,5, , ,5,2,4,3,2,4,4,2,5,1,3,2,4,1,1,1,1,1,1,2,1,2,2,2,2,1,4,3,2,4,2,4,4,2,4,5,1
1,0,0,0,0,3.57142857142857,3.25,3.5,5,4,1.75,1,2,1,7,6, , ,4,3,3,4,3,3,4,2,4,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,5,3,3,4,4,1
1,0,0,0,0,3.57142857142857,3.25,5,2,1,2.25,4.25,2,3.4,3,6, , ,4,3,5,5,3,3,1,5,1,5,2,2,3,2,3,3,3,4,4,3,1,3,1,3,3,1,4,4,4,5,2,2,3,3,1,1,1
1,0,0,0,0,3.57142857142857,3.25,4,4,2.75,2.25,1,1.5,1.6,5,5, , ,4,2,4,4,2,3,2,2,2,3,1,3,3,2,2,1,1,2,2,2,1,1,2,3,4,1,1,1,1,1,3,4,4,3,4,3,1
1,0,0,0,0,3.57142857142857,3,4.5,4,2.75,4.75,4,2.25,3,6,5, , ,4,4,5,4,4,4,3,4,1,1,4,5,5,5,3,3,3,3,3,3,2,2,2,2,2,1,4,4,4,4,1,2,2,2,2,5,1
1,0,0,0,0,3.57142857142857,2.75,5,4,2,4.75,5,2.5,1,1,5, , ,4,2,5,5,5,2,2,4,2,4,5,4,5,5,1,1,1,1,1,4,1,2,3,3,3,1,5,5,5,5,1,2,1,4,2,2,1
1,0,0,0,0,3.57142857142857,2.75,5,4,2,2,4,1.75,3,3,6, , ,4,2,5,5,4,3,2,4,2,4,2,2,2,2,3,3,2,4,3,2,1,2,2,3,3,1,5,2,4,5,2,2,2,3,2,2,1
1,0,0,0,0,3.57142857142857,3.25,4,4,2.25,3.5,4,2.5,2,4,6, , ,4,3,4,4,3,3,2,3,2,4,4,4,3,3,2,2,2,2,2,3,2,2,3,3,3,1,3,4,4,5,2,3,3,3,3,2,1
1,0,0,0,0,3.57142857142857,2.5,5,5,2.5,3.5,4.5,1,2.6,1,5, , ,4,3,5,5,4,5,2,3,3,4,5,1,4,4,1,3,4,3,2,1,1,1,1,2,3,1,4,4,5,5,2,1,2,1,3,2,1
1,0,0,0,0,3.57142857142857,3,5,3,2.25,3.5,4,2,1,4,6, , ,3,3,5,5,3,3,1,4,3,3,3,4,4,3,1,1,1,1,1,3,1,1,3,3,3,1,4,4,4,4,2,4,3,3,2,3,1
1,0,0,0,0,3.57142857142857,2.75,5,4,1,3.25,5,1.5,2.8,1,5, , ,4,3,5,5,4,4,1,5,1,5,4,4,3,2,2,3,3,3,3,2,1,1,2,3,3,1,5,5,5,5,2,1,2,2,1,1,1
1,0,0,0,0,3.57142857142857,2.75,5,4,2.75,2.5,4.25,2,1.4,3,6, , ,3,2,5,5,3,3,5,5,2,3,3,1,4,2,1,2,1,2,1,2,2,2,2,3,3,1,4,3,5,5,2,4,3,3,1,3,1
1,0,0,0,0,3.57142857142857,3.5,3.5,4,2.25,3,3,1.75,1,6,5, , ,4,4,3,4,3,3,2,3,2,4,2,4,4,2,1,1,1,1,1,2,2,1,2,3,3,1,2,2,4,4,2,3,3,3,3,2,1
1,0,0,0,0,3.57142857142857,3,4.5,4,3,3.5,2,3.75,1.8,4,5, , ,3,3,4,5,3,3,3,3,2,2,4,4,3,3,1,2,2,2,2,4,3,4,4,1,3,1,2,2,2,2,1,4,3,3,3,4,1
1,0,0,0,0,3.57142857142857,2.75,5,4,1,3.25,3.5,3.25,1.4,5,6, , ,4,2,5,5,4,3,1,5,1,5,2,1,5,5,1,1,1,3,1,3,3,3,4,3,3,1,5,4,2,3,2,2,2,3,1,1,1
1,0,0,0,0,3.57142857142857,3,5,3,1.25,2,4,1,2.4,2,6, , ,3,3,5,5,3,3,1,4,1,5,1,2,4,1,3,2,2,2,3,1,1,1,1,2,3,1,3,3,5,5,2,2,3,3,2,1,1
1,0,0,0,0,3.57142857142857,3.5,3.5,4,3.25,3.25,4.5,3.25,1.2,7,5, , ,5,4,3,4,3,4,4,3,4,4,3,4,3,3,1,1,1,1,2,4,3,3,3,4,4,1,5,4,4,5,1,2,3,2,3,2,1
1,0,0,0,0,3.57142857142857,3,5,3,2,3.75,4.5,2,2.4,2,5, , ,3,3,5,5,3,3,2,4,2,4,4,3,4,4,3,2,2,2,3,3,1,2,2,3,3,1,4,4,5,5,1,2,3,3,2,2,1
1,0,0,0,0,3.71428571428571,2.75,5,5,2.75,3,4,1.25,1.6,4,5, , ,4,3,5,5,5,3,4,3,2,4,3,3,3,3,1,2,1,3,1,2,1,1,1,2,3,1,4,4,4,4,1,2,1,3,3,2,1
1,0,0,0,0,3.71428571428571,3,5,4,1.75,2,4,2,2.6,3,6, , ,3,3,5,5,3,3,2,5,2,4,2,1,3,2,1,3,2,3,4,1,2,2,3,3,3,1,4,4,4,4,3,2,3,3,1,2,1
1,0,0,0,0,3.71428571428571,3.5,3.5,5,1.5,1.5,2,2.5,1.8,6,6, , ,4,4,3,4,3,3,1,5,2,4,1,2,2,1,1,3,1,2,2,3,2,2,3,3,3,1,2,2,2,2,3,5,3,3,1,2,1
1,0,0,0,0,3.71428571428571,3,4.5,5,3,2,3.25,1.5,2,5,6, , ,4,3,4,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,1,3,3,3,4,2,2,2,3,3,3,1
1,0,0,0,0,3.71428571428571,4,4,2,3,5,2.75,1.75,1,7,5, , ,2,4,4,4,1,1,4,2,2,4,5,5,5,5,1,1,1,1,1,2,1,2,2,1,4,1,3,3,3,2,2,3,5,5,4,2,1
1,0,0,0,0,3.71428571428571,3,5,4,1.25,4,4,2.25,2.2,4,6, , ,4,3,5,5,4,3,2,5,1,5,4,4,4,4,1,2,2,3,3,2,2,3,2,2,2,1,4,4,4,4,2,2,2,3,1,1,1
1,0,0,0,0,3.71428571428571,2.75,5,5,1.25,2.75,4.25,2.75,3.6,2,5, , ,5,4,5,5,5,5,1,4,1,5,1,4,4,2,3,4,3,4,4,3,3,1,4,3,3,1,4,4,4,5,1,1,1,1,2,1,1
1,0,0,0,0,3.71428571428571,3,4.5,5,2.5,2.5,3,2.75,1.2,5,6, , ,3,3,4,5,2,4,3,3,2,4,2,3,3,2,1,1,1,2,1,3,2,3,3,1,4,1,1,4,4,3,3,4,4,2,3,2,1
1,0,0,0,0,3.71428571428571,3,5,4,2,4.25,4.5,1.5,2.4,2,6, , ,4,3,5,5,3,4,2,4,2,4,4,5,5,3,3,2,1,4,2,2,1,1,2,3,4,1,5,4,4,5,3,2,3,2,2,2,1
1,0,0,0,0,3.71428571428571,3.25,5,3,2.75,3.25,3,2.5,1.4,4,6, , ,4,2,5,5,3,2,2,3,4,4,5,4,2,2,2,1,1,2,1,3,2,2,3,3,3,1,2,2,4,4,3,2,3,4,3,2,1
1,0,0,0,0,3.71428571428571,3.5,4,4,1,1.25,2.5,1,2,4,5, , ,4,3,4,4,3,2,1,5,1,5,1,2,1,1,1,1,2,3,3,1,1,1,1,1,1,1,2,2,3,3,3,2,3,4,1,1,1
